Estimator,MSE,seconds,dataset.kwargs.dataset
C: A + theory split ratio,0.0001826354204788,0.9611754417419434,satimage
D: B + C,0.0001826354204788,1.0112614631652832,satimage
E: D + 100 K training/test splits,0.0001826354204788,9.670334815979004,satimage
IPS,0.0040066325705954,0.002047061920166,vehicle
DM,0.0100826735823669,0.0069620609283447,vehicle
DR,0.0016031785498333,0.0030927658081054,vehicle
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0100826735823669,0.198927640914917,vehicle
B: A + one SE rule,0.0016031785498333,0.1008436679840087,vehicle
C: A + theory split ratio,0.0016031785498333,0.4211723804473877,vehicle
D: B + C,0.0016031785498333,0.6261579990386963,vehicle
E: D + 100 K training/test splits,0.0016031785498333,4.615106344223023,vehicle
IPS,0.0058721341468077,0.0026733875274658,yeast
DM,3.785767809793589e-08,0.0048654079437255,yeast
DR,0.0014844226541727,0.0062692165374755,yeast
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0058721341468077,0.2875018119812011,yeast
B: A + one SE rule,3.785767809793589e-08,0.1483397483825683,yeast
C: A + theory split ratio,0.0014844226541727,0.7331290245056152,yeast
D: B + C,0.0058721341468077,0.8257811069488525,yeast
E: D + 100 K training/test splits,0.0014844226541727,7.849900722503662,yeast
IPS,0.0008312570356259,0.0018742084503173,ecoli
DM,0.0019935766735365,0.0024828910827636,ecoli
DR,0.000354488462401,0.004209280014038,ecoli
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0019935766735365,0.1954836845397949,ecoli
B: A + one SE rule,0.0019935766735365,0.1158359050750732,ecoli
C: A + theory split ratio,0.000354488462401,0.3149752616882324,ecoli
D: B + C,0.000354488462401,0.3195300102233886,ecoli
E: D + 100 K training/test splits,0.000354488462401,3.5972790718078613,ecoli
IPS,0.0581215607787828,0.0014951229095458,glass
DM,0.0069845494516209,0.0031192302703857,glass
DR,0.0106240740364669,0.0028080940246582,glass
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0069845494516209,0.2159938812255859,glass
