Estimator,MSE,seconds,dataset.kwargs.dataset,logging_policy.kwargs.temperature,target_policy.kwargs.temperature
DRos \textsc{Slope},0.0001533397727382,0.0902631282806396,ecoli,0,10
DRos \ensuremath{\tt PAS{\text -}IF},0.0001255423758928,10.910876512527466,ecoli,0,10
DRps Original Tuning/Theory,0.0010754916375728,0.1530539989471435,ecoli,0,10
DRps \ensuremath{\tt OCV_{IPS}},0.0006687875723239,1.311107873916626,ecoli,0,10
DRps \ensuremath{\tt OCV_{DR}},0.0010754916375728,5.401407241821289,ecoli,0,10
DRps \textsc{Slope},0.0001528508168325,0.1141102313995361,ecoli,0,10
DRps \ensuremath{\tt PAS{\text -}IF},0.0001528508168325,11.41653037071228,ecoli,0,10
IPS-$\lambda$ Original Tuning/Theory,0.0023289261477779,0.0289893150329589,ecoli,0,10
IPS-$\lambda$ \ensuremath{\tt OCV_{IPS}},0.0006307891823126,0.993361234664917,ecoli,0,10
IPS-$\lambda$ \ensuremath{\tt OCV_{DR}},0.0099369375603229,3.382270097732544,ecoli,0,10
IPS-$\lambda$ \textsc{Slope},0.1694420189294835,0.044299840927124,ecoli,0,10
IPS-$\lambda$ \ensuremath{\tt PAS{\text -}IF},0.1694420189294835,8.93874716758728,ecoli,0,10
GroupIPS \ensuremath{\tt OCV_{IPS}},0.0008111298599264,0.3028175830841064,ecoli,0,10
GroupIPS \ensuremath{\tt OCV_{DR}},0.0006220149151229,0.4345111846923828,ecoli,0,10
GroupIPS \textsc{Slope},0.0009910891472289,0.0123798847198486,ecoli,0,10
GroupIPS \ensuremath{\tt PAS{\text -}IF},0.0009910891472289,10.972200393676758,ecoli,0,10
Everything \ensuremath{\tt OCV_{IPS}},0.0006395572772356,6.985727787017822,ecoli,0,10
Everything \ensuremath{\tt OCV_{DR}},0.0001119078121118,22.37031435966492,ecoli,0,10
Everything \ensuremath{\tt PAS{\text -}IF},0.2217558529420532,10.871881484985352,ecoli,0,10
TruncatedIPS Original Tuning/Theory,5.4805978953968936e-05,0.0088894367218017,ecoli,0,-10
TruncatedIPS \ensuremath{\tt OCV_{IPS}},0.0001424737083855,0.9911432266235352,ecoli,0,-10
TruncatedIPS \ensuremath{\tt OCV_{DR}},6.933849641052631e-05,3.690290689468384,ecoli,0,-10
TruncatedIPS \textsc{Slope},0.0001662047909137,0.0681815147399902,ecoli,0,-10
TruncatedIPS \ensuremath{\tt PAS{\text -}IF},5.4805978953968936e-05,10.301422357559204,ecoli,0,-10
\textsc{Switch}-DR Original Tuning/Theory,2.088935266738523e-06,0.2432258129119873,ecoli,0,-10
\textsc{Switch}-DR \ensuremath{\tt OCV_{IPS}},0.0001162974265507,4.500875473022461,ecoli,0,-10
\textsc{Switch}-DR \ensuremath{\tt OCV_{DR}},4.007025956000813e-05,6.557065486907959,ecoli,0,-10
\textsc{Switch}-DR \textsc{Slope},1.190032200393239e-05,0.1503427028656005,ecoli,0,-10
\textsc{Switch}-DR \ensuremath{\tt PAS{\text -}IF},2.088935266738523e-06,9.667447805404665,ecoli,0,-10
CAB \ensuremath{\tt OCV_{IPS}},5.743055198438062e-05,2.9803788661956787,ecoli,0,-10
CAB \ensuremath{\tt OCV_{DR}},6.294677111180093e-05,3.800398111343384,ecoli,0,-10
CAB \textsc{Slope},5.6875586356685096e-05,0.0520286560058593,ecoli,0,-10
CAB \ensuremath{\tt PAS{\text -}IF},5.961604522989571e-05,8.015994787216187,ecoli,0,-10
DRos Original Tuning/Theory,1.1378073212041798e-05,0.2383544445037841,ecoli,0,-10
DRos \ensuremath{\tt OCV_{IPS}},1.3417167561429728e-05,3.0596280097961426,ecoli,0,-10
DRos \ensuremath{\tt OCV_{DR}},1.1630679636029011e-05,5.153486490249634,ecoli,0,-10
DRos \textsc{Slope},1.1701839309078176e-05,0.1904704570770263,ecoli,0,-10
DRos \ensuremath{\tt PAS{\text -}IF},2.138800383576834e-06,10.127333641052246,ecoli,0,-10
DRps Original Tuning/Theory,1.1953515520715674e-05,0.1723406314849853,ecoli,0,-10
DRps \ensuremath{\tt OCV_{IPS}},6.995620288057729e-06,4.526124477386475,ecoli,0,-10
DRps \ensuremath{\tt OCV_{DR}},1.2401675077559592e-05,6.763386964797974,ecoli,0,-10
DRps \textsc{Slope},1.1953515520715674e-05,0.1575803756713867,ecoli,0,-10
DRps \ensuremath{\tt PAS{\text -}IF},2.088935266738523e-06,9.27423930168152,ecoli,0,-10
IPS-$\lambda$ Original Tuning/Theory,5.392451934845907e-05,0.0069341659545898,ecoli,0,-10
IPS-$\lambda$ \ensuremath{\tt OCV_{IPS}},4.8622689183848855e-05,0.7936553955078125,ecoli,0,-10
IPS-$\lambda$ \ensuremath{\tt OCV_{DR}},5.479290517034351e-05,2.470800876617432,ecoli,0,-10
IPS-$\lambda$ \textsc{Slope},0.0002215710392682,0.0283832550048828,ecoli,0,-10
IPS-$\lambda$ \ensuremath{\tt PAS{\text -}IF},0.0019577152374059,6.77122163772583,ecoli,0,-10
GroupIPS \ensuremath{\tt OCV_{IPS}},5.437534227629331e-05,0.3052265644073486,ecoli,0,-10
GroupIPS \ensuremath{\tt OCV_{DR}},5.4805978953968936e-05,0.4234857559204101,ecoli,0,-10
GroupIPS \textsc{Slope},1.6463670392589018e-06,0.0104556083679199,ecoli,0,-10
GroupIPS \ensuremath{\tt PAS{\text -}IF},1.6463670392589018e-06,8.10977816581726,ecoli,0,-10
Everything \ensuremath{\tt OCV_{IPS}},0.0001130798035716,15.209558486938477,ecoli,0,-10
Everything \ensuremath{\tt OCV_{DR}},5.4396079814360266e-05,29.694080114364624,ecoli,0,-10
Everything \ensuremath{\tt PAS{\text -}IF},0.0087165886935574,7.721781253814697,ecoli,0,-10
TruncatedIPS Original Tuning/Theory,0.0060106798150972,0.0010004043579101,ecoli,-1,10
TruncatedIPS \ensuremath{\tt OCV_{IPS}},0.0060106798150972,1.035048007965088,ecoli,-1,10
TruncatedIPS \ensuremath{\tt OCV_{DR}},0.0060106798150972,4.0764758586883545,ecoli,-1,10
TruncatedIPS \textsc{Slope},0.2677869202733651,0.0177834033966064,ecoli,-1,10
TruncatedIPS \ensuremath{\tt PAS{\text -}IF},0.2677869202733651,6.805565357208252,ecoli,-1,10
\textsc{Switch}-DR Original Tuning/Theory,0.0028393456680867,0.255626916885376,ecoli,-1,10
\textsc{Switch}-DR \ensuremath{\tt OCV_{IPS}},0.0023429315810075,1.0091311931610107,ecoli,-1,10
\textsc{Switch}-DR \ensuremath{\tt OCV_{DR}},0.002386062927575,3.862109899520874,ecoli,-1,10
\textsc{Switch}-DR \textsc{Slope},0.0026335891617971,0.2010591030120849,ecoli,-1,10
\textsc{Switch}-DR \ensuremath{\tt PAS{\text -}IF},0.002620631982007,8.191101312637329,ecoli,-1,10
CAB \ensuremath{\tt OCV_{IPS}},0.0018238979559152,1.583446979522705,ecoli,-1,10
CAB \ensuremath{\tt OCV_{DR}},0.0018872428246486,2.0408384799957275,ecoli,-1,10
CAB \textsc{Slope},0.0018872428246486,0.0499939918518066,ecoli,-1,10
CAB \ensuremath{\tt PAS{\text -}IF},0.0026359199454853,8.643261909484863,ecoli,-1,10
DRos Original Tuning/Theory,0.0089721333087421,0.1733965873718261,ecoli,-1,10
DRos \ensuremath{\tt OCV_{IPS}},0.0101171908134907,1.4758524894714355,ecoli,-1,10
DRos \ensuremath{\tt OCV_{DR}},0.0025861952604448,7.762937545776367,ecoli,-1,10
DRos \textsc{Slope},0.0026289419899732,0.2065737247467041,ecoli,-1,10
DRos \ensuremath{\tt PAS{\text -}IF},0.0025861952604448,8.029201745986938,ecoli,-1,10
DRps Original Tuning/Theory,0.0043776468133732,0.1704306602478027,ecoli,-1,10
DRps \ensuremath{\tt OCV_{IPS}},0.0041084019972957,1.1975641250610352,ecoli,-1,10
DRps \ensuremath{\tt OCV_{DR}},0.0026214018298211,6.437443733215332,ecoli,-1,10
