Estimator,MSE,seconds,regret,dataset.eval_model_split
DR,5.934217657605795e-05,0.0007238388061523,0.0,200
\ensuremath{\tt OCV_{IPS}},0.0002642926805478,0.0853738784790039,0.0002049505039717,200
\ensuremath{\tt OCV_{DR}},0.0002642926805478,0.1564624309539795,0.0002049505039717,200
\textsc{Slope},7.151705814266489e-05,0.0040323734283447,1.217488156660694e-05,200
\ensuremath{\tt PAS{\text -}IF},0.0002642926805478,4.019200801849365,0.0002049505039717,200
IPS,7.62847293395654e-05,0.0005090236663818,0.0,500
DM,0.0036489471643192,0.0048739910125732,0.0035726624349796,500
DR,0.0009924154087258,0.0009479522705078,0.0009161306793863,500
\ensuremath{\tt OCV_{IPS}},7.62847293395654e-05,0.0864002704620361,0.0,500
\ensuremath{\tt OCV_{DR}},7.62847293395654e-05,0.1798186302185058,0.0,500
\textsc{Slope},0.0009924154087258,0.0053133964538574,0.0009161306793863,500
\ensuremath{\tt PAS{\text -}IF},0.0036489471643192,4.703232526779175,0.0035726624349796,500
IPS,5.803740235508963e-08,0.0007495880126953,0.0,1000
DM,0.0021899286629999,0.0039303302764892,0.0021898706255975,1000
DR,9.230091200069028e-05,0.0012702941894531,9.224287459833518e-05,1000
\ensuremath{\tt OCV_{IPS}},5.803740235508963e-08,0.0980396270751953,0.0,1000
\ensuremath{\tt OCV_{DR}},5.803740235508963e-08,0.1874537467956543,0.0,1000
\textsc{Slope},9.230091200069028e-05,0.0071203708648681,9.224287459833518e-05,1000
\ensuremath{\tt PAS{\text -}IF},0.0021899286629999,6.728197336196899,0.0021898706255975,1000
IPS,3.189744040527931e-05,0.0011432170867919,2.740257564586876e-05,2000
DM,0.0013963136816544,0.004664659500122,0.001391818816895,2000
DR,4.494864759410553e-06,0.0020093917846679,0.0,2000
\ensuremath{\tt OCV_{IPS}},4.494864759410553e-06,0.1232762336730957,0.0,2000
\ensuremath{\tt OCV_{DR}},4.494864759410553e-06,0.2266745567321777,0.0,2000
\textsc{Slope},4.494864759410553e-06,0.010638952255249,0.0,2000
\ensuremath{\tt PAS{\text -}IF},0.0013963136816544,7.40578556060791,0.001391818816895,2000
IPS,6.063639116547501e-08,0.002518892288208,0.0,5000
DM,0.0017945991511379,0.0074849128723144,0.0017945385147467,5000
DR,5.7808101805805215e-06,0.0040860176086425,5.720173789415047e-06,5000
\ensuremath{\tt OCV_{IPS}},5.7808101805805215e-06,0.1970980167388916,5.720173789415047e-06,5000
\ensuremath{\tt OCV_{DR}},6.063639116547501e-08,0.3441884517669678,0.0,5000
\textsc{Slope},5.7808101805805215e-06,0.0236821174621582,5.720173789415047e-06,5000
\ensuremath{\tt PAS{\text -}IF},0.0017945991511379,14.141028881072998,0.0017945385147467,5000
IPS,0.0231274136511685,0.0005514621734619,0.0,10
DM,0.0573042174215811,0.0013389587402343,0.0341768037704125,10
DR,0.0573005144233089,0.0006747245788574,0.0341731007721403,10
\ensuremath{\tt OCV_{IPS}},0.0573005144233089,0.0360033512115478,0.0341731007721403,10
\ensuremath{\tt OCV_{DR}},0.0231274136511685,0.0637874603271484,0.0,10
\textsc{Slope},0.0573042174215811,0.0040740966796875,0.0341768037704125,10
\ensuremath{\tt PAS{\text -}IF},0.0573042174215811,4.991095781326294,0.0341768037704125,10
IPS,0.0041483253340943,0.0004298686981201,0.0,20
DM,0.0058251342739795,0.0017049312591552,0.0016768089398851,20
DR,0.0058257147604248,0.0015461444854736,0.0016773894263305,20
\ensuremath{\tt OCV_{IPS}},0.0041483253340943,0.0499000549316406,0.0,20
\ensuremath{\tt OCV_{DR}},0.0041483253340943,0.0777661800384521,0.0,20
\textsc{Slope},0.0058251342739795,0.0055024623870849,0.0016768089398851,20
\ensuremath{\tt PAS{\text -}IF},0.0058251342739795,3.846861124038696,0.0016768089398851,20
IPS,0.0034139105809058,0.0006179809570312,0.002714051044051,50
DM,0.0007005025670631,0.0021085739135742,6.43030208279387e-07,50
DR,0.0006998595368548,0.000777244567871,0.0,50
\ensuremath{\tt OCV_{IPS}},0.0034139105809058,0.119516372680664,0.002714051044051,50
