Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
DM,0.015939179195474076,0.007229328155517578,optdigits
DR,0.0003011308026711545,0.004759311676025391,optdigits
\ensuremath{\tt OCV_{DM}},0.015939179195474076,0.3334159851074219,optdigits
IPS,0.0013106182892096375,0.0009369850158691406,page-blocks
DM,0.0009082556427694706,0.0027112960815429688,page-blocks
DR,1.6269797728522163e-06,0.001308441162109375,page-blocks
\ensuremath{\tt OCV_{DM}},0.0009082556427694706,0.11802315711975098,page-blocks
IPS,0.00012477469272760233,0.0021703243255615234,pendigits
DM,0.045619317542534045,0.007210731506347656,pendigits
DR,6.602537751042734e-05,0.0035424232482910156,pendigits
\ensuremath{\tt OCV_{DM}},0.045619317542534045,0.27668118476867676,pendigits
IPS,0.0004245566024298922,0.0011801719665527344,satimage
DM,0.01850291029675401,0.004900932312011719,satimage
DR,0.0001723022954120734,0.0025262832641601562,satimage
\ensuremath{\tt OCV_{DM}},0.01850291029675401,0.209075927734375,satimage
IPS,1.033544131886646e-05,0.0003752708435058594,vehicle
DM,0.0025618408361736023,0.0020186901092529297,vehicle
DR,0.00034584402171483993,0.0006229877471923828,vehicle
\ensuremath{\tt OCV_{DM}},0.0025618408361736023,0.09177160263061523,vehicle
IPS,0.00047022223114882844,0.0004961490631103516,yeast
DM,0.0021631418143646035,0.0031239986419677734,yeast
DR,0.0007107714811180447,0.001005411148071289,yeast
\ensuremath{\tt OCV_{DM}},0.0021631418143646035,0.12112832069396973,yeast
IPS,0.025650122412601718,0.00032520294189453125,ecoli
DM,0.013189100764599464,0.0023746490478515625,ecoli
DR,0.0044107441466299845,0.0005769729614257812,ecoli
\ensuremath{\tt OCV_{DM}},0.013189100764599464,0.061548709869384766,ecoli
IPS,0.004248064635513874,0.0002930164337158203,glass
DM,0.005876250469688021,0.0019698143005371094,glass
DR,0.012279440496630638,0.000476837158203125,glass
\ensuremath{\tt OCV_{DM}},0.012279440496630638,0.07125973701477051,glass
IPS,0.0004418299927488614,0.009755134582519531,letter
DM,0.15168700443058478,0.030758142471313477,letter
DR,0.001226526409046911,0.0195920467376709,letter
\ensuremath{\tt OCV_{DM}},0.15168700443058478,0.7213156223297119,letter
IPS,0.001832097349353624,0.0014846324920654297,optdigits
DM,0.01825926197543024,0.010663747787475586,optdigits
DR,0.0005327928486624048,0.0037064552307128906,optdigits
\ensuremath{\tt OCV_{DM}},0.01825926197543024,0.26364636421203613,optdigits
IPS,0.00031864714816008357,0.0009076595306396484,page-blocks
DM,0.0015550684325293072,0.0026445388793945312,page-blocks
DR,3.5007187254052445e-05,0.0012950897216796875,page-blocks
\ensuremath{\tt OCV_{DM}},0.0015550684325293072,0.1111304759979248,page-blocks
IPS,2.612896660184917e-05,0.0020151138305664062,pendigits
DM,0.04764245872846313,0.0065267086029052734,pendigits
DR,4.106256726266669e-05,0.0034737586975097656,pendigits
\ensuremath{\tt OCV_{DM}},0.04764245872846313,0.2992064952850342,pendigits
IPS,0.0007178751422111255,0.0014433860778808594,satimage
DM,0.015362439042145681,0.005495786666870117,satimage
DR,9.663883958492528e-06,0.0028247833251953125,satimage
\ensuremath{\tt OCV_{DM}},0.015362439042145681,0.21191883087158203,satimage
IPS,4.288554276592482e-05,0.00039005279541015625,vehicle
DM,0.010887873565906255,0.0021495819091796875,vehicle
DR,0.002013025424311714,0.0005805492401123047,vehicle
\ensuremath{\tt OCV_{DM}},0.010887873565906255,0.07722783088684082,vehicle
IPS,2.262434295552448e-05,0.0004241466522216797,yeast
DM,0.0015996026488943023,0.002953052520751953,yeast
DR,0.00022977458035741916,0.0007188320159912109,yeast
\ensuremath{\tt OCV_{DM}},0.0015996026488943023,0.10320091247558594,yeast
IPS,0.0017173637845189606,0.00026726722717285156,ecoli
DM,2.4632455917933307e-05,0.0014834403991699219,ecoli
DR,0.0009901428862011047,0.0004138946533203125,ecoli
\ensuremath{\tt OCV_{DM}},2.4632455917933307e-05,0.05771923065185547,ecoli
IPS,0.009583801968460532,0.0002613067626953125,glass
DM,0.0006049552608387284,0.0015099048614501953,glass
DR,6.0000064411372606e-05,0.00038743019104003906,glass
\ensuremath{\tt OCV_{DM}},0.009583801968460532,0.06775951385498047,glass
IPS,0.0002374654221189555,0.011114120483398438,letter
DM,0.14976545753325377,0.024430274963378906,letter
DR,0.0009501218733951981,0.015205144882202148,letter
\ensuremath{\tt OCV_{DM}},0.14976545753325377,0.7029743194580078,letter
IPS,0.00027836202999824,0.0015819072723388672,optdigits
DM,0.017809145091649787,0.007247447967529297,optdigits
DR,0.000267885811337774,0.0037250518798828125,optdigits
\ensuremath{\tt OCV_{DM}},0.017809145091649787,0.31340670585632324,optdigits
IPS,3.2585542955969675e-05,0.0009281635284423828,page-blocks
DM,0.0011648965061362758,0.0032510757446289062,page-blocks
DR,2.495616328283523e-05,0.0015163421630859375,page-blocks
\ensuremath{\tt OCV_{DM}},0.0011648965061362758,0.13154363632202148,page-blocks
IPS,0.0012564312052670932,0.001964569091796875,pendigits
DM,0.05210484394290639,0.0066394805908203125,pendigits
DR,0.0002825789008079568,0.003771066665649414,pendigits
