Estimator,MSE,seconds,dataset.kwargs.dataset
\ensuremath{\tt OCV_{DR}},0.0010455133868964,5.646245718002319,letter
\textsc{Slope},0.0010455133868964,0.3157811164855957,letter
\ensuremath{\tt PAS{\text -}IF},0.1529098383157824,46.56255865097046,letter
IPS,4.8085378978144295e-05,0.0046491622924804,optdigits
DM,0.0147262919941222,0.0929350852966308,optdigits
DR,4.774455475504919e-05,0.016066551208496,optdigits
\ensuremath{\tt OCV_{IPS}},4.8085378978144295e-05,0.8456065654754639,optdigits
\ensuremath{\tt OCV_{DR}},4.774455475504919e-05,2.1569435596466064,optdigits
\textsc{Slope},4.774455475504919e-05,0.0349550247192382,optdigits
\ensuremath{\tt PAS{\text -}IF},0.0147262919941222,31.24089813232422,optdigits
IPS,0.0016425202408572,0.0123717784881591,page-blocks
DM,0.0002654816388127,0.0051054954528808,page-blocks
DR,0.0001885618610181,0.0188658237457275,page-blocks
\ensuremath{\tt OCV_{IPS}},0.0016425202408572,0.4899358749389648,page-blocks
\ensuremath{\tt OCV_{DR}},0.0002654816388127,0.5969529151916504,page-blocks
\textsc{Slope},0.0001885618610181,0.0322697162628173,page-blocks
\ensuremath{\tt PAS{\text -}IF},0.0002654816388127,27.18472576141357,page-blocks
IPS,0.000143485589366,0.0101444721221923,pendigits
DM,0.0487551367546502,0.0294349193572998,pendigits
DR,1.4807532753399172e-06,0.0248248577117919,pendigits
\ensuremath{\tt OCV_{IPS}},1.4807532753399172e-06,1.042098045349121,pendigits
\ensuremath{\tt OCV_{DR}},1.4807532753399172e-06,1.9141170978546145,pendigits
\textsc{Slope},1.4807532753399172e-06,0.0872225761413574,pendigits
\ensuremath{\tt PAS{\text -}IF},0.0487551367546502,22.02701497077942,pendigits
IPS,0.0001666989826052,0.0058085918426513,satimage
DM,0.0177528013243979,0.0178673267364501,satimage
DR,0.0001826354204788,0.0109961032867431,satimage
\ensuremath{\tt OCV_{IPS}},0.0001666989826052,0.5191287994384766,satimage
\ensuremath{\tt OCV_{DR}},0.0001826354204788,1.455003023147583,satimage
\textsc{Slope},0.0001826354204788,0.0506424903869628,satimage
\ensuremath{\tt PAS{\text -}IF},0.0177528013243979,31.16416454315185,satimage
IPS,0.0040066325705954,0.0014076232910156,vehicle
DM,0.0100826735823669,0.0044691562652587,vehicle
DR,0.0016031785498333,0.0016620159149169,vehicle
\ensuremath{\tt OCV_{IPS}},0.0040066325705954,0.2766215801239013,vehicle
\ensuremath{\tt OCV_{DR}},0.0016031785498333,0.549229621887207,vehicle
\textsc{Slope},0.0100826735823669,0.0096113681793212,vehicle
\ensuremath{\tt PAS{\text -}IF},0.0040066325705954,7.078157424926758,vehicle
IPS,0.0058721341468077,0.0025033950805664,yeast
DM,3.785767809793589e-08,0.0046594142913818,yeast
DR,0.0014844226541727,0.0100147724151611,yeast
\ensuremath{\tt OCV_{IPS}},0.0014844226541727,0.4302830696105957,yeast
\ensuremath{\tt OCV_{DR}},0.0058721341468077,0.8472123146057129,yeast
\textsc{Slope},3.785767809793589e-08,0.0226883888244628,yeast
\ensuremath{\tt PAS{\text -}IF},3.785767809793589e-08,11.566089391708374,yeast
IPS,0.0008312570356259,0.0007045269012451,ecoli
DM,0.0019935766735365,0.0023634433746337,ecoli
DR,0.000354488462401,0.0036935806274414,ecoli
\ensuremath{\tt OCV_{IPS}},0.000354488462401,0.1397578716278076,ecoli
\ensuremath{\tt OCV_{DR}},0.000354488462401,0.4681167602539062,ecoli
\textsc{Slope},0.0019935766735365,0.0064964294433593,ecoli
\ensuremath{\tt PAS{\text -}IF},0.0019935766735365,7.670816898345947,ecoli
IPS,0.0581215607787828,0.0024349689483642,glass
DM,0.0069845494516209,0.0069577693939208,glass
