Estimator,MSE,seconds,dataset.kwargs.dataset
\ensuremath{\tt OCV_{IPS}},0.0002210891891162,0.2134978771209716,glass
\ensuremath{\tt OCV_{DR}},0.0002210891891162,0.4373414516448974,glass
\textsc{Slope},0.0002210891891162,0.0076339244842529,glass
\ensuremath{\tt PAS{\text -}IF},0.00257170048359,7.68352198600769,glass
IPS,2.942450825072644e-08,0.0221209526062011,letter
DM,0.0009968104160221,0.045405626296997,letter
DR,2.7862011617633573e-07,0.0662498474121093,letter
\ensuremath{\tt OCV_{IPS}},2.7862011617633573e-07,2.278923749923706,letter
\ensuremath{\tt OCV_{DR}},2.942450825072644e-08,3.509837865829468,letter
\textsc{Slope},2.7862011617633573e-07,0.1275005340576172,letter
\ensuremath{\tt PAS{\text -}IF},0.0009968104160221,48.28407430648804,letter
IPS,2.412297124886385e-11,0.0065474510192871,optdigits
DM,0.0020444307541995,0.0864379405975341,optdigits
DR,0.0001339312444778,0.0281193256378173,optdigits
\ensuremath{\tt OCV_{IPS}},2.412297124886385e-11,2.4037139415740967,optdigits
\ensuremath{\tt OCV_{DR}},0.0001339312444778,3.545166254043579,optdigits
\textsc{Slope},2.412297124886385e-11,0.0448300838470459,optdigits
\ensuremath{\tt PAS{\text -}IF},0.0020444307541995,31.926167488098145,optdigits
IPS,5.342765366596104e-06,0.0030951499938964,page-blocks
DM,0.0006102074132518,0.0037569999694824,page-blocks
DR,1.1339404430876766e-05,0.0127010345458984,page-blocks
\ensuremath{\tt OCV_{IPS}},5.342765366596104e-06,0.3704047203063965,page-blocks
\ensuremath{\tt OCV_{DR}},5.342765366596104e-06,0.8267621994018555,page-blocks
\textsc{Slope},1.1339404430876766e-05,0.029374361038208,page-blocks
\ensuremath{\tt PAS{\text -}IF},5.342765366596104e-06,23.535240411758423,page-blocks
IPS,2.8594846437598276e-09,0.0135529041290283,pendigits
DM,0.0027875756930323,0.0234465599060058,pendigits
DR,1.2687231075366504e-05,0.02858567237854,pendigits
\ensuremath{\tt OCV_{IPS}},2.8594846437598276e-09,1.056922435760498,pendigits
\ensuremath{\tt OCV_{DR}},2.8594846437598276e-09,1.7860417366027832,pendigits
\textsc{Slope},1.2687231075366504e-05,0.0744996070861816,pendigits
\ensuremath{\tt PAS{\text -}IF},0.0027875756930323,19.11900568008423,pendigits
